Analyzing belive...                                             

  error - The method 'endPkCall' isn't defined for the type 'ApiService' - lib\providers\pk_provider.dart:245:24 - undefined_method
  error - The method 'getUser' isn't defined for the type 'ApiService' - lib\providers\profile_provider.dart:45:36 - undefined_method
  error - The method 'getGuestProfileByUsername' isn't defined for the type 'ApiService' - lib\providers\profile_provider.dart:74:40 - undefined_method
  error - The method 'getLevelSummary' isn't defined for the type 'ApiService' - lib\providers\profile_provider.dart:85:40 - undefined_method
  error - The method 'getFansRanking' isn't defined for the type 'ApiService' - lib\providers\profile_provider.dart:94:36 - undefined_method
  error - The method 'followerList' isn't defined for the type 'ApiService' - lib\providers\profile_provider.dart:106:36 - undefined_method
  error - The method 'followingList' isn't defined for the type 'ApiService' - lib\providers\profile_provider.dart:118:36 - undefined_method
  error - The method 'getBlockedUsers' isn't defined for the type 'ApiService' - lib\providers\profile_provider.dart:130:36 - undefined_method
  error - The method 'followUnfollow' isn't defined for the type 'ApiService' - lib\providers\profile_provider.dart:145:36 - undefined_method
  error - The method 'blockUnblock' isn't defined for the type 'ApiService' - lib\providers\profile_provider.dart:161:36 - undefined_method
  error - The method 'getStoreItems' isn't defined for the type 'ApiService' - lib\providers\store_provider.dart:63:36 - undefined_method
  error - The method 'getStoreCategories' isn't defined for the type 'ApiService' - lib\providers\store_provider.dart:77:36 - undefined_method
  error - The method 'getMyStoreItems' isn't defined for the type 'ApiService' - lib\providers\store_provider.dart:100:36 - undefined_method
  error - The method 'purchaseStoreItem' isn't defined for the type 'ApiService' - lib\providers\store_provider.dart:135:36 - undefined_method
  error - The method 'selectStoreItem' isn't defined for the type 'ApiService' - lib\providers\store_provider.dart:155:36 - undefined_method
  error - The method 'deselectStoreItem' isn't defined for the type 'ApiService' - lib\providers\store_provider.dart:181:36 - undefined_method
  error - The method 'getVipTiers' isn't defined for the type 'ApiService' - lib\providers\vip_provider.dart:66:36 - undefined_method
  error - The method 'getVipStatus' isn't defined for the type 'ApiService' - lib\providers\vip_provider.dart:81:36 - undefined_method
  error - The method 'getVipRules' isn't defined for the type 'ApiService' - lib\providers\vip_provider.dart:95:38 - undefined_method
  error - The method 'getVipDetails' isn't defined for the type 'ApiService' - lib\providers\vip_provider.dart:124:38 - undefined_method
  error - The method 'getVipPointsHistory' isn't defined for the type 'ApiService' - lib\providers\vip_provider.dart:135:36 - undefined_method
  error - The method 'getVipPurchaseRecords' isn't defined for the type 'ApiService' - lib\providers\vip_provider.dart:151:36 - undefined_method
  error - The method 'purchaseVip' isn't defined for the type 'ApiService' - lib\providers\vip_provider.dart:170:36 - undefined_method
  error - The method 'buyVipTier' isn't defined for the type 'ApiService' - lib\providers\vip_provider.dart:191:36 - undefined_method
  error - The method 'updateVipSetting' isn't defined for the type 'ApiService' - lib\providers\vip_provider.dart:208:36 - undefined_method
  error - The method 'getTransactionHistory' isn't defined for the type 'ApiService' - lib\providers\wallet_provider.dart:54:36 - undefined_method
  error - The method 'getRedeemHistory' isn't defined for the type 'ApiService' - lib\providers\wallet_provider.dart:70:36 - undefined_method
  error - The method 'submitRedeem' isn't defined for the type 'ApiService' - lib\providers\wallet_provider.dart:89:36 - undefined_method
  error - The method 'convertRcoinToDiamond' isn't defined for the type 'ApiService' - lib\providers\wallet_provider.dart:111:36 - undefined_method
   info - The import of '../models/pk_call_models.dart' is unnecessary because all of the used elements are also provided by the import of '../models/pk_call_models.dart' - lib\routes\app_routes.dart:6:8 - unnecessary_import
  error - The method 'getAgencies' isn't defined for the type 'ApiService' - lib\screens\agency\agency_list_screen.dart:39:36 - undefined_method
  error - The method 'joinAgency' isn't defined for the type 'ApiService' - lib\screens\agency\agency_list_screen.dart:57:36 - undefined_method
  error - The method 'getMyAgency' isn't defined for the type 'ApiService' - lib\screens\agency\agency_screen.dart:59:36 - undefined_method
  error - The method 'addAgencyHost' isn't defined for the type 'ApiService' - lib\screens\agency\agency_screen.dart:294:46 - undefined_method
  error - The method 'getCommissionRates' isn't defined for the type 'ApiService' - lib\screens\agency\agency_screen.dart:348:36 - undefined_method
  error - The method 'getAgencyHostRequests' isn't defined for the type 'ApiService' - lib\screens\agency\agency_screen.dart:455:36 - undefined_method
  error - The method 'updateHostRequestStatus' isn't defined for the type 'ApiService' - lib\screens\agency\agency_screen.dart:469:36 - undefined_method
  error - The method 'addAgencyHost' isn't defined for the type 'ApiService' - lib\screens\agency\agency_screen.dart:472:26 - undefined_method
  error - The method 'updateHostRequestStatus' isn't defined for the type 'ApiService' - lib\screens\agency\agency_screen.dart:486:24 - undefined_method
  error - The method 'getAgencyHosts' isn't defined for the type 'ApiService' - lib\screens\agency\agency_screen.dart:637:36 - undefined_method
  error - The method 'removeAgencyHost' isn't defined for the type 'ApiService' - lib\screens\agency\agency_screen.dart:697:50 - undefined_method
  error - The method 'getAgencyRevenue' isn't defined for the type 'ApiService' - lib\screens\agency\agency_screen.dart:734:36 - undefined_method
  error - The method 'getAgencyWithdrawals' isn't defined for the type 'ApiService' - lib\screens\agency\agency_screen.dart:850:36 - undefined_method
  error - The method 'createAgency' isn't defined for the type 'ApiService' - lib\screens\agency\agency_screen.dart:937:36 - undefined_method
  error - The method 'requestAgencyWithdrawal' isn't defined for the type 'ApiService' - lib\screens\agency\agency_screen.dart:1050:36 - undefined_method
  error - The method 'bindAccount' isn't defined for the type 'ApiService' - lib\screens\auth\account_binding_screen.dart:59:36 - undefined_method
  error - The method 'bindAccount' isn't defined for the type 'ApiService' - lib\screens\auth\account_binding_screen.dart:113:36 - undefined_method
  error - The method 'bindAccount' isn't defined for the type 'ApiService' - lib\screens\auth\bind_phone_screen.dart:157:36 - undefined_method
  error - The method 'getIp' isn't defined for the type 'ApiService' - lib\screens\auth\login_screen.dart:137:37 - undefined_method
  error - The method 'addReferralCode' isn't defined for the type 'ApiService' - lib\screens\auth\login_screen.dart:183:28 - undefined_method
  error - The method 'getIp' isn't defined for the type 'ApiService' - lib\screens\auth\mobile_login_screen.dart:246:37 - undefined_method
  error - The method 'callDisconnect' isn't defined for the type 'ApiService' - lib\screens\call\audio_call_screen.dart:95:26 - undefined_method
  error - The method 'getCallHistory' isn't defined for the type 'ApiService' - lib\screens\call\call_history_screen.dart:47:36 - undefined_method
  error - The method 'callRequest' isn't defined for the type 'ApiService' - lib\screens\call\call_request_screen.dart:100:36 - undefined_method
warning - Unused import: '../../widgets/user_avatar.dart' - lib\screens\call\call_screen.dart:27:8 - unused_import
  error - The method 'callDisconnect' isn't defined for the type 'ApiService' - lib\screens\call\call_screen.dart:239:24 - undefined_method
  error - The method 'getBdProfile' isn't defined for the type 'ApiService' - lib\screens\centers\bd_center_screen.dart:72:41 - undefined_method
  error - The method 'getHostProfile' isn't defined for the type 'ApiService' - lib\screens\centers\bd_center_screen.dart:76:42 - undefined_method
  error - The method 'getBdProfile' isn't defined for the type 'ApiService' - lib\screens\centers\bd_center_screen.dart:81:41 - undefined_method
  error - The method 'getBdAgencyData' isn't defined for the type 'ApiService' - lib\screens\centers\bd_center_screen.dart:86:20 - undefined_method
  error - The method 'getBdEarning' isn't defined for the type 'ApiService' - lib\screens\centers\bd_center_screen.dart:87:20 - undefined_method
  error - The method 'getBdSettlement' isn't defined for the type 'ApiService' - lib\screens\centers\bd_center_screen.dart:88:20 - undefined_method
  error - The method 'getBdHostRequests' isn't defined for the type 'ApiService' - lib\screens\centers\bd_center_screen.dart:89:20 - undefined_method
  error - The method 'getHostProfile' isn't defined for the type 'ApiService' - lib\screens\centers\host_center_screen.dart:73:20 - undefined_method
  error - The method 'getHostSettlement' isn't defined for the type 'ApiService' - lib\screens\centers\host_center_screen.dart:74:20 - undefined_method
  error - The method 'getHostTasks' isn't defined for the type 'ApiService' - lib\screens\centers\host_center_screen.dart:75:20 - undefined_method
  error - The method 'getHostLiveHistory' isn't defined for the type 'ApiService' - lib\screens\centers\host_center_screen.dart:76:20 - undefined_method
  error - The method 'getHostLiveHistoryToday' isn't defined for the type 'ApiService' - lib\screens\centers\host_center_screen.dart:77:20 - undefined_method
  error - The method 'claimTaskReward' isn't defined for the type 'ApiService' - lib\screens\centers\host_center_screen.dart:688:36 - undefined_method
  error - The method 'deleteAllChat' isn't defined for the type 'ApiService' - lib\screens\chat\chat_list_screen.dart:223:24 - undefined_method
  error - The method 'muteChat' isn't defined for the type 'ApiService' - lib\screens\chat\chat_list_screen.dart:574:24 - undefined_method
  error - The method 'deleteChat' isn't defined for the type 'ApiService' - lib\screens\chat\chat_list_screen.dart:607:24 - undefined_method
  error - The method 'deleteChat' isn't defined for the type 'ApiService' - lib\screens\chat\chat_list_screen.dart:643:26 - undefined_method
  error - The method 'createChatTopic' isn't defined for the type 'ApiService' - lib\screens\chat\chat_screen.dart:253:24 - undefined_method
  error - The method 'getOldChat' isn't defined for the type 'ApiService' - lib\screens\chat\chat_screen.dart:314:34 - undefined_method
  error - The method 'createChatTopic' isn't defined for the type 'ApiService' - lib\screens\chat\chat_screen.dart:320:43 - undefined_method
  error - The method 'getOldChat' isn't defined for the type 'ApiService' - lib\screens\chat\chat_screen.dart:327:34 - undefined_method
  error - The method 'getOldChat' isn't defined for the type 'ApiService' - lib\screens\chat\chat_screen.dart:379:36 - undefined_method
  error - The method 'createChatTopic' isn't defined for the type 'ApiService' - lib\screens\chat\chat_screen.dart:657:43 - undefined_method
  error - The method 'uploadChatImage' isn't defined for the type 'ApiService' - lib\screens\chat\chat_screen.dart:798:36 - undefined_method
